"url","Model_name","Model_image","Model_image_alt","Model description","mpodel_price","Lease amount","Lease tenure","Finance amount","finance tenure","finance interst"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 CLA250 Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2016-SPECIAL-OFFERS-CLA-COUPE-01-D.jpg","2016-SPECIAL-OFFERS-CLA-COUPE-01-D.jpg","Inspired by its trendsetting big brother, the CLS-Class, the new CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that captivated the international auto show circuit.","$32,050*","$299","/mo for 36 months","$3,643","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 CLA250 Coupe 4MATIC®","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2016-SPECIAL-OFFERS-CLA-COUPE-02-D.jpg","2016-SPECIAL-OFFERS-CLA-COUPE-02-D.jpg","Inspired by its trendsetting big brother, the CLS-Class, the new CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that captivated the international auto show circuit.","$34,050*","$319","/mo for 36 months","$3,813","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 CLA45 AMG Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-16-CLA45-D.jpg","2017-SPECIAL-OFFERS-16-CLA45-D.jpg","Inspired by its trendsetting big brother, the CLS, the CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that Captivated the international auto show circuit.","$49,500*","$519","/mo for 36 months","$5,913","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 CLA250 Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17_CLA_HERO_5_BLACK-D.jpg","2017-SPECIAL-OFFERS-17_CLA_HERO_5_BLACK-D.jpg","Inspired by its trendsetting big brother, the CLS-Class, the new CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that captivated the international auto show circuit.","$32,400*","$339","/mo for 36 months","$3,633","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 CLA250 Coupe 4MATIC®","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17_CLA_HERO_4_4MATIC-D.jpg","2017-SPECIAL-OFFERS-17_CLA_HERO_4_4MATIC-D.jpg","Inspired by its trendsetting big brother, the CLS-Class, the new CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that captivated the international auto show circuit.","$34,400*","$359","/mo for 36 months","$3,753","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 CLA45 AMG Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-CLA45-COUPE-D.jpg","2017-SPECIAL-OFFERS-CLA45-COUPE-D.jpg","Inspired by its trendsetting big brother, the CLS, the CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that Captivated the international auto show circuit.","$49,950*","$559","/mo for 36 months","$5,953","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 C300 Sport Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2016-SPECIAL-OFFERS-C-SEDAN-01-D.jpg","2016-SPECIAL-OFFERS-C-SEDAN-01-D.jpg","Muscular style outside, flowing refinement inside, and a fluent conversation between car and driver: From its engineering to its enthusiasm, the value of the C-Class comes from its virtues.","$38,950*","$369","/mo for 36 months","$4,523","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 C300 4MATIC® Sport Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2016-SPECIAL-OFFERS-C-SEDAN-02-D.jpg","2016-SPECIAL-OFFERS-C-SEDAN-02-D.jpg","Exuberant performance and impressive efficiency never take a holiday in the C300 4MATIC. Its all-wheel drive and all-around excellence make it a joy to drive on any road, in any season.","$40,950*","$389","/mo for 36 months","$4,683","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 C350e Plug-in Hybrid Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-C-C350E-SEDAN-D.jpg","2017-SPECIAL-OFFERS-C-C350E-SEDAN-D.jpg","The first plug-in hybrid C-Class teams an electric motor with a biturbo gasoline V-6 for an exceptional 275 hp (combined). An E-BOOST feature lets the electric motor raise total torque up to 443 lb-ft, for quick acceleration along with remarkable fuel-efficiency. It can also travel far enough on electricity alone for many drivers to commute without using gasoline.","$45,490*","$369","/mo for 36 months","$4,523","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 C450 AMG Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2017-SPECIAL-OFFERS-C450-AMG-SEDAN-01-D.jpg","2017-SPECIAL-OFFERS-C450-AMG-SEDAN-01-D.jpg","Muscular style outside, flowing refinement inside, and a fluent conversation between car and driver: From its engineering to its enthusiasm, the value of the C-Class comes from its virtues.","$50,800*","$529","/mo for 36 months","$5,123","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 C300 Sport Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17_CS_spt_pkg-1002-D.jpg","2017-SPECIAL-OFFERS-17_CS_spt_pkg-1002-D.jpg","Muscular style outside, flowing refinement inside, and a fluent conversation between car and driver: From its engineering to its enthusiasm, the value of the C-Class comes from its virtues.","$39,500*","$389","/mo for 36 months","$4,183","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 C300 4MATIC® Sport Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17_CS_spt_pkg_4MATIC-1003-D.jpg","2017-SPECIAL-OFFERS-17_CS_spt_pkg_4MATIC-1003-D.jpg","Exuberant performance and impressive efficiency never take a holiday in the C300 4MATIC. Its all-wheel drive and all-around excellence make it a joy to drive on any road, in any season.","$41,500*","$399","/mo for 36 months","$4,343","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 AMG C43 Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17_C_Cab_Hero-D.jpg","2017-SPECIAL-OFFERS-17_C_Cab_Hero-D.jpg","Muscular style outside, flowing refinement inside, and a fluent conversation between car and driver: From its engineering to its enthusiasm, the value of the C-Class comes from its virtues.","$52,000*","$539","/mo for 36 months","$5,133","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 C300 Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-C-COUPE-01-D.jpg","2017-SPECIAL-OFFERS-C-COUPE-01-D.jpg","Muscular style outside, flowing refinement inside, and a fluent conversation between car and driver: From its engineering to its enthusiasm, the value of the C-Class comes from its virtues.","$42,650*","$429","/mo for 36 months","$4,623","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 C300 4MATIC® Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-C-COUPE-02-D.jpg","2017-SPECIAL-OFFERS-C-COUPE-02-D.jpg","Muscular style outside, flowing refinement inside, and a fluent conversation between car and driver: From its engineering to its enthusiasm, the value of the C-Class comes from its virtues.","$44,650*","$439","/mo for 36 months","$4,783","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 AMG C43 Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-16_AMG_PICTURES00169-D.jpg","2017-SPECIAL-OFFERS-16_AMG_PICTURES00169-D.jpg","Muscular style outside, flowing refinement inside, and a fluent conversation between car and driver: From its engineering to its enthusiasm, the value of the C-Class comes from its virtues.","$55,500*","$649","/mo for 36 months","$5,343","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 C300 Cabriolet","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-C-CABRIOLET-D.jpg","2017-SPECIAL-OFFERS-17-C-CABRIOLET-D.jpg","The C-Class Cabriolet is a summit of style and sportiness that's yours to enjoy in any season and every setting.","$50,900*","$569","/mo for 36 months","$4,963","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 C300 4MATIC® Cabriolet","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-C-CABRIOLET4M-D.jpg","2017-SPECIAL-OFFERS-17-C-CABRIOLET4M-D.jpg","The C-Class Cabriolet expands a rich heritage of design and luxury, while extending the family of innovative open-air Mercedes models that set the standard today.","$52,900*","$589","/mo for 36 months","$5,083","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 AMG C43 Cabriolet","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-C_Cab_Hero_07-D.jpg","2017-SPECIAL-OFFERS-C_Cab_Hero_07-D.jpg","The C-Class Cabriolet is a summit of style and sportiness that's yours to enjoy in any season and every setting.","$60,400*","$729","/mo for 36 months","$5,523","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 E350 4MATIC® Wagon","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-E350-WAGON-D.jpg","2017-SPECIAL-OFFERS-E350-WAGON-D.jpg","An icon of style for generations, the E-Class is foremost an ever-advancing role model for the entire auto industry. Its design reflects the abundance of innovative technology within, from its aerodynamic refinement to its LED lighting all around.","$59,900*","$649","/mo for 36 months","$5,743","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 E300 Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-E-SEDAN-01-D.jpg","2017-SPECIAL-OFFERS-E-SEDAN-01-D.jpg","The 10th generation E-Class takes on a new shape that's roomier inside, sleeker outside and stronger all over.","$52,150*","$549","/mo for 36 months","$5,043","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 E300 4MATIC® Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-E-SEDAN-07-D.jpg","2017-SPECIAL-OFFERS-E-SEDAN-07-D.jpg","The 10th generation E-Class takes on a new shape that's roomier inside, sleeker outside and stronger all over.","$54,650*","$569","/mo for 36 months","$5,263","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 AMG E43 Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-E43-SEDAN-D.jpg","2017-SPECIAL-OFFERS-E43-SEDAN-D.jpg","Aggressive, athletic and artful, the AMG E43 Sedan asserts its performance on every surface. AMG lower bodywork is designed to enhance both aesthetics and aerodynamics.","$72,400*","$799","/mo for 36 months","$6,093","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 E400 4MATIC® Wagon","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-E400-WAGON-D.jpg","2017-SPECIAL-OFFERS-E400-WAGON-D.jpg","The 6th generation of the E-Class Wagon takes on a new shape that's roomier inside, sleeker outside and stronger all over. With 2.6 inches more wheelbase and classic proportions, the new E delivers sculpted elegance with a sporty stance.","$62,300*","$729","/mo for 36 months","$5,923","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 E400 Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-14-EC-1000-D.jpg","2017-SPECIAL-OFFERS-14-EC-1000-D.jpg","The classic Mercedes-Benz coupe signature is a sweeping profile with no visible framework interrupting the four power side windows. Called pillarless design, it's a not just a class-exclusive but a body style only Mercedes-Benz has produced continuously for over 50 years.","$54,550*","$619","/mo for 36 months","$4,913","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 E400 4MATIC® Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-EC-400-1002-D.jpg","2017-SPECIAL-OFFERS-17-EC-400-1002-D.jpg","The Coupe has four individually tailored seats that are a Mercedes-Benz coupe tradition. Fine craftsmanship is apparent from its most modern materials, like sleek metallic trim, to its hand-polished wood. Hand-fitted and precisely double-stitched leather upholstery is offered in a wide palette of colors, too. And a central analog timepiece celebrates the iconic Mercedes-Benz coupes of the past.","$57,050*","$639","/mo for 36 months","$5,033","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 E400 Cabriolet","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-EA-400-1002-D.jpg","2017-SPECIAL-OFFERS-17-EA-400-1002-D.jpg","Engineered from the winding road to the blue sky as a true 4-seat convertible, the new E400 Cabriolet makes any season sunnier. With an insulated cloth soft top, breathtaking style and groundbreaking innovations in safety and comfort, it's the most compelling chapter yet in the rich Mercedes-Benz history of open-air motoring.","$62,600*","$679","/mo for 36 months","$5,073","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 CLS550 Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-CLS-CLS550-COUPE-D.jpg","2017-SPECIAL-OFFERS-CLS-CLS550-COUPE-D.jpg","The original 4-door coupe is still the trendsetter, a position of leadership that the CLS holds strong for 2017. From its aggressively sculpted front fascia and glistening grille to its muscular rear shoulders, the CLS displays its muscle from any angle. Its arching roofline is taut like an archer's bow, with its the frameless side glass providing the ideal complement to its coupe profile. In the CLS, four sensible doors have never felt so sensual.","$74,850*","$949","/mo for 36 months","$6,543","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 CLS550 Coupe 4MATIC®","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-CLS-CLS550-4MATIC-COUPE-D.jpg","2017-SPECIAL-OFFERS-CLS-CLS550-4MATIC-COUPE-D.jpg","The original 4-door coupe is still the trendsetter, a position of leadership that the CLS holds strong for 2017. From its aggressively sculpted front fascia and glistening grille to its muscular rear shoulders, the CLS displays its muscle from any angle. Its arching roofline is taut like an archer's bow, with its the frameless side glass providing the ideal complement to its coupe profile. In the CLS, four sensible doors have never felt so sensual.","$77,350*","$999","/mo for 36 months","$6,743","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 S550 4MATIC® Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2017-SPECIAL-OFFERS-S550-COUPE-01-D.jpg","2017-SPECIAL-OFFERS-S550-COUPE-01-D.jpg","As the flagship Mercedes-Benz coupe, the S-Class draws from its rich heritage while projecting a brilliant beacon into the future. Sweeping and sleek, it is also a sculpture of tensed muscle from its expressive headlamps to its horizontal tail lamps, all rendered in LED.","$121,550*","$1,599","/mo for 36 months","$8,893","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 S550 Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-15-SS550_SS5504M_spt-1006-D.jpg","2017-SPECIAL-OFFERS-15-SS550_SS5504M_spt-1006-D.jpg","From its biturbo V-8 performance to its class-leading innovations in safety, luxury and driver assistance, the S550 is a marvel of engineering wrapped in a masterpiece of modern design.","$96,600*","$1,249","/mo for 36 months","$7,043","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 S550 4MATIC® Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-16_S-Sedan_4MATIC_004-D.jpg","2017-SPECIAL-OFFERS-16_S-Sedan_4MATIC_004-D.jpg","Timelessness is continually reimagining what's new. From its bold leaps in innovation to its most elegant detail, the all-wheel drive S550 4MATIC defines the future while it defies the weather.","$99,600*","$1,299","/mo for 36 months","$7,193","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 S550e Plug-in Hybrid","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-14_S-Class_001_HYBRID-D.jpg","2017-SPECIAL-OFFERS-14_S-Class_001_HYBRID-D.jpg","From its biturbo V-8 performance to its class-leading innovations in safety, luxury and driver assistance, the S550 is a marvel of engineering wrapped in a masterpiece of modern design.","$96,600*","$1,179","/mo for 36 months","$6,973","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLA250 SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-15-GLA250-4M-1003-D.jpg","2017-SPECIAL-OFFERS-15-GLA250-4M-1003-D.jpg","With a confident stance and athletic stride, the GLA's muscular shape is more than a tribute not just to its rich SUV heritage. It's a direct reflection of the engineering under its own stylish skin.","$32,850*","$339","/mo for 36 months","$3,633","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLA250 4MATIC® SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-15-GLA250-4M-1004-D.jpg","2017-SPECIAL-OFFERS-15-GLA250-4M-1004-D.jpg","With a confident stance and athletic stride, the GLA's muscular shape is more than a tribute not just to its rich SUV heritage. It's a direct reflection of the engineering under its own stylish skin.","$34,850*","$359","/mo for 36 months","$3,753","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLC300 SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-GLC_Hero07-D.jpg","2017-SPECIAL-OFFERS-17-GLC_Hero07-D.jpg","A midsize SUV that's all lean muscle.","$39,150*","$479","/mo for 36 months","$4,173","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLC300 4MATIC® SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-GLC300-4M-SUV-D.jpg","2017-SPECIAL-OFFERS-GLC300-4M-SUV-D.jpg","Advanced 4MATIC is all-wheel drive for all kinds of drivers.","$41,150*","$499","/mo for 36 months","$4,343","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 AMG GLC43 SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-2016_AMG_PICTURES00128-D.jpg","2017-SPECIAL-OFFERS-2016_AMG_PICTURES00128-D.jpg","Advanced 4MATIC is all-wheel drive for all kinds of drivers.","$54,900*","$679","/mo for 36 months","$5,273","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLC300 4MATIC® Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-GLC-COUPE-D.jpg","2017-SPECIAL-OFFERS-GLC-COUPE-D.jpg","The agility of a Mercedes-Benz coupe meets the muscle of a legendary family of SUVs in the new GLC Coupe. From its sizable 19-inch wheels to its power-dome hood and arching roof, it's got a confident stance that's true to the sporty soul within.","$45,950*","$549","/mo for 36 months","$4,543","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 AMG GLC43 Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-GLC43-COUPE-D.jpg","2017-SPECIAL-OFFERS-GLC43-COUPE-D.jpg","Like any athlete, cross-training has developed the AMG GLC43 Coupe for an ideal balance of strength, agility and stamina. Its AMG-infused performance is not just visible on its surface, it comes to life on any surface. Standard 20-inch wheels, aggressively sculpted AMG body styling and details rendered in Gloss Black express not merely attitude but authority.","$59,650*","$719","/mo for 36 months","$5,513","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 GLE550e Plug-in Hybrid","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-GLE-SUV-D.jpg","2017-SPECIAL-OFFERS-17-GLE-SUV-D.jpg","The first plug-in hybrid Mercedes-Benz SUV teams an electric motor with a biturbo gasoline V-6 for an exceptional 436 hp (combined).","$65,550*","$699","/mo for 36 months","$5,993","for 24-36 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLE350 SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-GLE-Hero-001-D.jpg","2017-SPECIAL-OFFERS-17-GLE-Hero-001-D.jpg","Smooth V-6 power in a sleek new shape, the GLE350 combines the sporty balance and efficiency of rear-wheel drive with advance, user-friendly technology and indulgent luxury.","$52,000*","$579","/mo for 36 months","$5,173","for 24-36 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLE350 4MATIC® SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-GLE-SUV-1001-D.jpg","2017-SPECIAL-OFFERS-17-GLE-SUV-1001-D.jpg","With class-leading safety systems, groundbreaking driver assists and road-gripping 4MATIC® all-wheel drive, the GLE350 delivers driving confidence in a stylish, luxurious new package.","$54,500*","$599","/mo for 36 months","$5,323","for 24-36 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLE400 4MATIC® SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-GLE-SUV-GLE400-D.jpg","2017-SPECIAL-OFFERS-GLE-SUV-GLE400-D.jpg","With class-leading safety systems, groundbreaking driver assists and road-gripping 4MATIC® all-wheel drive, the GLE400 delivers driving confidence in a stylish, luxurious new package.","$65,650*","$819","/mo for 36 months","$5,613","for 24-36 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLE550e Plug-in Hybrid","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-GLE-SUV-HERO-006-D.jpg","2017-SPECIAL-OFFERS-17-GLE-SUV-HERO-006-D.jpg","The first plug-in hybrid Mercedes-Benz SUV teams an electric motor with a biturbo gasoline V-6 for an exceptional 436 hp (combined).","$66,300*","$779","/mo for 36 months","$6,073","for 24-36 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 AMG GLE43 SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-GLE43-SUV-D.jpg","2017-SPECIAL-OFFERS-GLE43-SUV-D.jpg","Smooth V-6 power in a sleek new shape, the GLE350 combines the sporty balance and efficiency of rear-wheel drive with advance, user-friendly technology and indulgent luxury.","$67,150*","$839","/mo for 36 months","$5,633","for 24-36 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 GLS450 SUV","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-GLS450-SUV-01-D.jpg","2017-SPECIAL-OFFERS-GLS450-SUV-01-D.jpg","No matter where you take a seat in the GLS, the GLS takes you to a place where leadership is omnipresent: in roominess, in refinement and in its rewards. Available innovations range from massaging front seats to a vast Panorama roof.","$68,700*","$799","/mo for 36 months","$6,593","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 SLC300 Roadster","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-SLC-Hero02-D.jpg","2017-SPECIAL-OFFERS-17-SLC-Hero02-D.jpg","Sculpted to slice through the wind. And carve through corners.","$47,950*","$519","/mo for 36 months","$4,613","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 AMG SLC43 Roadster","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-SLC-HERO_05-D.jpg","2017-SPECIAL-OFFERS-SLC-HERO_05-D.jpg","Shaped by a rich racing heritage and the wind it loves to slice, the SLC wraps purebred performance in perfectly proportioned muscle. From its cross blade grille to its signature power hardtop, its passion is expressed openly. LED lighting and aluminum-trimmed roll bars assert its inner strength with scintillating style.","$60,300*","$689","/mo for 36 months","$5,483","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 SL450 Roadster","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-SL_1000-D.jpg","2017-SPECIAL-OFFERS-17-SL_1000-D.jpg","Aggressively styled lower bodywork includes a deep front air dam with mesh intakes, along with aerodynamic sculpting of the side sills and rear valance.","$86,950*","$1,049","/mo for 36 months","$6,343","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 B-Class Electric Drive","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2015/2015-B-EV-SPECIAL-OFFER-700x350.jpg","2015-B-EV-SPECIAL-OFFER-700x350.jpg","Clever packaging creates a compact 5-door with midsize room and sport-sedan fun. The energy module, including its high-capacity battery, is spread out under the cabin floor, for a substantially lower center of gravity. So even with its commanding view and generous space, it offers the nimble, sporty and stable handling of a Mercedes-Benz.","$41,450*","$329","/mo for 36 months","$4,123","",""
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 B-Class Electric Drive","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17-B-EV-1003-D.jpg","2017-SPECIAL-OFFERS-17-B-EV-1003-D.jpg","Clever packaging creates a compact 5-door with midsize room and sport-sedan fun. The energy module, including its high-capacity battery, is spread out under the cabin floor, for a substantially lower center of gravity. So even with its commanding view and generous space, it offers the nimble, sporty and stable handling of a Mercedes-Benz.","$39,900*","$349","/mo for 36 months","$4,143","",""
